Date,Platform,Post ID,Content Type,Likes,Shares,Comments,Impressions,Hashtags,CTR (%),Engagement Timing
2025-06-01,Instagram,IG001,Image,350,45,20,4000,"#travel #beachlife",5.2,Evening (6PM–9PM)
2025-06-01,YouTube,YT001,Shorts,1250,180,90,9800,"#vlog #beach",7.4,Night (9PM–12AM)
2025-06-02,Instagram,IG002,Reel,420,60,35,5100,"#vacation #sun",6.1,Afternoon (3PM–6PM)
2025-06-03,Facebook,FB001,Image,300,20,10,3200,"#adventure #nature",4.3,Morning (9AM–12PM)
2025-06-04,Instagram,IG003,Story,180,15,8,2200,"#summer #fun",3.2,Early Morning (6AM–9AM)
2025-06-05,YouTube,YT002,Video,980,140,75,8700,"#beachday #sunset",6.9,Evening (6PM–9PM)
2025-06-06,Instagram,IG004,Reel,515,85,48,6300,"#explore #wanderlust",6.5,Night (9PM–12AM)
2025-06-07,Facebook,FB002,Video,410,25,16,4100,"#trip #weekend",5.0,Afternoon (3PM–6PM)
2025-06-08,Instagram,IG005,Image,290,22,13,3500,"#travelgram #relax",4.7,Morning (9AM–12PM)
2025-06-09,YouTube,YT003,Shorts,1320,200,110,10500,"#ocean #waves",7.9,Evening (6PM–9PM)
